Experiment: official_allreduce_ring
round 0(0), batch_time: 19.316, loss: 7.0260e+00, top1:   0.00, top5:   1.56, throughput:   4.57 samples/s
round 10(0), batch_time:  0.040, loss: 8.2934e+00, top1:   0.00, top5:   0.00, throughput: 3647.57 samples/s
round 20(0), batch_time:  0.069, loss: 8.0586e+00, top1:   0.00, top5:   0.00, throughput: 3590.63 samples/s
round 30(0), batch_time:  0.082, loss: 7.9278e+00, top1:   0.00, top5:   0.00, throughput: 3644.10 samples/s
round 40(0), batch_time:  0.109, loss: 7.3287e+00, top1:   0.00, top5:   0.00, throughput: 3125.16 samples/s
round 50(0), batch_time:  0.040, loss: 7.0857e+00, top1:   0.00, top5:   0.00, throughput: 3652.38 samples/s
round 60(0), batch_time:  0.041, loss: 7.1112e+00, top1:   0.00, top5:   0.00, throughput: 3617.39 samples/s
round 70(0), batch_time:  0.041, loss: 7.0090e+00, top1:   0.00, top5:   0.00, throughput: 3619.63 samples/s
round 80(0), batch_time:  0.041, loss: 7.0010e+00, top1:   0.00, top5:   0.00, throughput: 3581.43 samples/s
round 90(0), batch_time:  0.040, loss: 6.9863e+00, top1:   1.56, top5:   1.56, throughput: 3659.55 samples/s
round 100(0), batch_time:  0.041, loss: 6.9940e+00, top1:   0.00, top5:   0.00, throughput: 3609.80 samples/s
round 110(0), batch_time:  0.040, loss: 7.1176e+00, top1:   0.00, top5:   0.00, throughput: 3624.86 samples/s
round 120(0), batch_time:  0.041, loss: 6.9271e+00, top1:   0.00, top5:   1.56, throughput: 3660.85 samples/s
round 130(0), batch_time:  0.042, loss: 7.0168e+00, top1:   0.00, top5:   1.56, throughput: 3704.76 samples/s
round 140(0), batch_time:  0.040, loss: 6.9209e+00, top1:   0.00, top5:   1.56, throughput: 3604.81 samples/s
round 150(0), batch_time:  0.040, loss: 6.9210e+00, top1:   0.00, top5:   0.00, throughput: 3748.42 samples/s
round 160(0), batch_time:  0.076, loss: 6.9384e+00, top1:   0.00, top5:   0.00, throughput: 3635.07 samples/s
round 170(0), batch_time:  0.041, loss: 6.9910e+00, top1:   0.00, top5:   0.00, throughput: 3631.14 samples/s
round 180(0), batch_time:  0.049, loss: 6.9367e+00, top1:   0.00, top5:   1.56, throughput: 3612.81 samples/s
round 190(0), batch_time:  0.158, loss: 6.9166e+00, top1:   0.00, top5:   0.00, throughput: 3748.94 samples/s
round 200(0), batch_time:  0.041, loss: 6.9335e+00, top1:   0.00, top5:   1.56, throughput: 3611.01 samples/s
round 210(0), batch_time:  0.202, loss: 6.9590e+00, top1:   0.00, top5:   0.00, throughput: 3605.92 samples/s
round 220(0), batch_time:  0.040, loss: 6.9073e+00, top1:   0.00, top5:   0.00, throughput: 3620.56 samples/s
round 230(0), batch_time:  0.173, loss: 6.9113e+00, top1:   0.00, top5:   0.00, throughput: 3612.66 samples/s
round 240(0), batch_time:  0.201, loss: 6.9205e+00, top1:   0.00, top5:   0.00, throughput: 359.62 samples/s
round 250(0), batch_time:  0.072, loss: 6.9171e+00, top1:   0.00, top5:   0.00, throughput: 3630.74 samples/s
round 260(0), batch_time:  0.070, loss: 6.9078e+00, top1:   0.00, top5:   0.00, throughput: 1340.94 samples/s
round 270(0), batch_time:  0.218, loss: 6.9250e+00, top1:   0.00, top5:   1.56, throughput: 3626.28 samples/s
round 280(0), batch_time:  0.052, loss: 6.9051e+00, top1:   0.00, top5:   0.00, throughput: 3630.94 samples/s
round 290(0), batch_time:  0.173, loss: 6.9165e+00, top1:   0.00, top5:   0.00, throughput: 3594.19 samples/s
round 300(0), batch_time:  0.040, loss: 6.9043e+00, top1:   0.00, top5:   0.00, throughput: 3616.51 samples/s
round 310(0), batch_time:  0.225, loss: 6.9227e+00, top1:   0.00, top5:   0.00, throughput: 3613.01 samples/s
round 320(0), batch_time:  0.040, loss: 6.8887e+00, top1:   0.00, top5:   0.00, throughput: 3619.88 samples/s
round 330(0), batch_time:  0.182, loss: 6.8914e+00, top1:   0.00, top5:   1.56, throughput: 3610.09 samples/s
round 340(0), batch_time:  0.040, loss: 6.9186e+00, top1:   0.00, top5:   0.00, throughput: 3674.33 samples/s
round 350(0), batch_time:  0.080, loss: 6.9025e+00, top1:   0.00, top5:   0.00, throughput: 3611.06 samples/s
round 360(0), batch_time:  0.040, loss: 6.9288e+00, top1:   0.00, top5:   0.00, throughput: 4030.99 samples/s
round 370(0), batch_time:  0.126, loss: 6.9079e+00, top1:   0.00, top5:   0.00, throughput: 3894.26 samples/s
round 380(0), batch_time:  0.042, loss: 6.8972e+00, top1:   0.00, top5:   3.12, throughput: 3647.32 samples/s
round 390(0), batch_time:  0.041, loss: 6.9139e+00, top1:   0.00, top5:   1.56, throughput: 4003.45 samples/s
round 400(0), batch_time:  0.042, loss: 6.8767e+00, top1:   0.00, top5:   0.00, throughput: 3219.00 samples/s
round 410(0), batch_time:  0.094, loss: 6.9170e+00, top1:   0.00, top5:   0.00, throughput: 3591.54 samples/s
round 420(0), batch_time:  0.042, loss: 6.8817e+00, top1:   0.00, top5:   0.00, throughput: 3665.35 samples/s
round 430(0), batch_time:  0.176, loss: 6.8661e+00, top1:   0.00, top5:   0.00, throughput: 3609.26 samples/s
round 440(0), batch_time:  0.040, loss: 6.8872e+00, top1:   1.56, top5:   4.69, throughput: 3692.27 samples/s
round 450(0), batch_time:  0.122, loss: 6.9039e+00, top1:   0.00, top5:   1.56, throughput: 3619.88 samples/s
round 460(0), batch_time:  0.042, loss: 6.8950e+00, top1:   0.00, top5:   0.00, throughput: 3635.46 samples/s
round 470(0), batch_time:  0.040, loss: 6.9049e+00, top1:   0.00, top5:   0.00, throughput: 3654.27 samples/s
round 480(0), batch_time:  0.040, loss: 6.9083e+00, top1:   0.00, top5:   0.00, throughput: 3663.10 samples/s
round 490(0), batch_time:  0.039, loss: 6.8944e+00, top1:   0.00, top5:   0.00, throughput: 3972.53 samples/s
round 500(0), batch_time:  0.039, loss: 6.9110e+00, top1:   1.56, top5:   1.56, throughput: 4061.85 samples/s
round 510(0), batch_time:  0.041, loss: 6.8873e+00, top1:   0.00, top5:   0.00, throughput: 3662.05 samples/s
round 520(0), batch_time:  0.041, loss: 6.8758e+00, top1:   1.56, top5:   3.12, throughput: 3615.19 samples/s
round 530(0), batch_time:  0.040, loss: 6.9138e+00, top1:   0.00, top5:   0.00, throughput: 3643.51 samples/s
round 540(0), batch_time:  0.040, loss: 6.8939e+00, top1:   0.00, top5:   0.00, throughput: 3608.10 samples/s
round 550(0), batch_time:  0.040, loss: 6.8845e+00, top1:   0.00, top5:   0.00, throughput: 3638.13 samples/s
round 560(0), batch_time:  0.041, loss: 6.8905e+00, top1:   0.00, top5:   0.00, throughput: 3608.00 samples/s
round 570(0), batch_time:  0.040, loss: 6.8483e+00, top1:   1.56, top5:   3.12, throughput: 3654.07 samples/s
