Experiment: official_allreduce_tree
round 0(0), batch_time: 19.242, loss: 7.0260e+00, top1:   0.00, top5:   1.56, throughput:   4.42 samples/s
round 10(0), batch_time:  0.041, loss: 8.2934e+00, top1:   0.00, top5:   0.00, throughput: 3549.51 samples/s
round 20(0), batch_time:  0.102, loss: 8.0586e+00, top1:   0.00, top5:   0.00, throughput: 3493.39 samples/s
round 30(0), batch_time:  0.041, loss: 7.9278e+00, top1:   0.00, top5:   0.00, throughput: 3529.68 samples/s
round 40(0), batch_time:  0.043, loss: 7.3287e+00, top1:   0.00, top5:   0.00, throughput: 3173.90 samples/s
round 50(0), batch_time:  0.041, loss: 7.0857e+00, top1:   0.00, top5:   0.00, throughput: 3603.84 samples/s
round 60(0), batch_time:  0.040, loss: 7.1112e+00, top1:   0.00, top5:   0.00, throughput: 3517.19 samples/s
round 70(0), batch_time:  0.040, loss: 7.0090e+00, top1:   0.00, top5:   0.00, throughput: 3601.81 samples/s
round 80(0), batch_time:  0.093, loss: 7.0010e+00, top1:   0.00, top5:   0.00, throughput: 899.74 samples/s
round 90(0), batch_time:  0.041, loss: 6.9863e+00, top1:   1.56, top5:   1.56, throughput: 3456.32 samples/s
round 100(0), batch_time:  0.165, loss: 6.9940e+00, top1:   0.00, top5:   0.00, throughput: 446.43 samples/s
round 110(0), batch_time:  0.041, loss: 7.1176e+00, top1:   0.00, top5:   0.00, throughput: 3565.31 samples/s
round 120(0), batch_time:  0.118, loss: 6.9271e+00, top1:   0.00, top5:   1.56, throughput: 667.85 samples/s
round 130(0), batch_time:  0.045, loss: 7.0168e+00, top1:   0.00, top5:   1.56, throughput: 3546.65 samples/s
round 140(0), batch_time:  0.041, loss: 6.9209e+00, top1:   0.00, top5:   1.56, throughput: 3581.67 samples/s
round 150(0), batch_time:  0.040, loss: 6.9210e+00, top1:   0.00, top5:   0.00, throughput: 3615.97 samples/s
round 160(0), batch_time:  0.041, loss: 6.9384e+00, top1:   0.00, top5:   0.00, throughput: 3537.82 samples/s
round 170(0), batch_time:  0.041, loss: 6.9910e+00, top1:   0.00, top5:   0.00, throughput: 3596.21 samples/s
round 180(0), batch_time:  0.077, loss: 6.9367e+00, top1:   0.00, top5:   1.56, throughput: 3550.92 samples/s
round 190(0), batch_time:  0.166, loss: 6.9166e+00, top1:   0.00, top5:   0.00, throughput: 3547.21 samples/s
round 200(0), batch_time:  0.041, loss: 6.9335e+00, top1:   0.00, top5:   1.56, throughput: 3521.39 samples/s
round 210(0), batch_time:  0.091, loss: 6.9590e+00, top1:   0.00, top5:   0.00, throughput: 3508.32 samples/s
round 220(0), batch_time:  0.132, loss: 6.9073e+00, top1:   0.00, top5:   0.00, throughput: 584.75 samples/s
round 230(0), batch_time:  0.099, loss: 6.9113e+00, top1:   0.00, top5:   0.00, throughput: 3541.83 samples/s
round 240(0), batch_time:  0.199, loss: 6.9205e+00, top1:   0.00, top5:   0.00, throughput: 364.70 samples/s
round 250(0), batch_time:  0.040, loss: 6.9171e+00, top1:   0.00, top5:   0.00, throughput: 3577.76 samples/s
round 260(0), batch_time:  0.203, loss: 6.9078e+00, top1:   0.00, top5:   0.00, throughput: 365.10 samples/s
round 270(0), batch_time:  0.041, loss: 6.9250e+00, top1:   0.00, top5:   1.56, throughput: 3525.88 samples/s
