Experiment: official_ddp
round 0(0), batch_time:  1.889, loss: 7.0318e+00, top1:   0.00, top5:   1.56, throughput: 102.85 samples/s
round 10(0), batch_time:  0.157, loss: 8.5340e+00, top1:   0.00, top5:   1.56, throughput: 488.41 samples/s
round 20(0), batch_time:  0.078, loss: 7.4002e+00, top1:   0.00, top5:   0.00, throughput: 1219.27 samples/s
round 30(0), batch_time:  0.042, loss: 7.2392e+00, top1:   0.00, top5:   1.56, throughput: 4023.19 samples/s
round 40(0), batch_time:  0.046, loss: 6.8266e+00, top1:   0.00, top5:   1.56, throughput: 3102.55 samples/s
round 50(0), batch_time:  0.130, loss: 6.9437e+00, top1:   0.00, top5:   0.00, throughput: 617.85 samples/s
round 60(0), batch_time:  0.043, loss: 6.9551e+00, top1:   0.00, top5:   0.00, throughput: 3717.17 samples/s
round 70(0), batch_time:  0.044, loss: 6.9350e+00, top1:   0.00, top5:   0.00, throughput: 3443.42 samples/s
round 80(0), batch_time:  0.043, loss: 6.9091e+00, top1:   0.00, top5:   1.56, throughput: 3748.73 samples/s
round 90(0), batch_time:  0.152, loss: 6.9035e+00, top1:   0.00, top5:   0.00, throughput: 509.68 samples/s
round 100(0), batch_time:  0.043, loss: 6.9136e+00, top1:   0.00, top5:   0.00, throughput: 3772.28 samples/s
round 110(0), batch_time:  0.212, loss: 6.8885e+00, top1:   0.00, top5:   0.00, throughput: 343.36 samples/s
round 120(0), batch_time:  0.043, loss: 6.8419e+00, top1:   1.56, top5:   1.56, throughput: 3759.71 samples/s
round 130(0), batch_time:  0.302, loss: 6.9088e+00, top1:   0.00, top5:   1.56, throughput: 231.62 samples/s
round 140(0), batch_time:  0.041, loss: 6.8978e+00, top1:   0.00, top5:   0.00, throughput: 4268.33 samples/s
round 150(0), batch_time:  0.301, loss: 6.9089e+00, top1:   0.00, top5:   0.00, throughput: 232.78 samples/s
round 160(0), batch_time:  0.043, loss: 6.9063e+00, top1:   0.00, top5:   3.12, throughput: 3690.95 samples/s
round 170(0), batch_time:  0.043, loss: 6.9141e+00, top1:   0.00, top5:   0.00, throughput: 3739.91 samples/s
round 180(0), batch_time:  0.043, loss: 6.8957e+00, top1:   0.00, top5:   1.56, throughput: 3759.28 samples/s
round 190(0), batch_time:  0.054, loss: 6.8916e+00, top1:   1.56, top5:   1.56, throughput: 2256.03 samples/s
round 200(0), batch_time:  0.042, loss: 6.8768e+00, top1:   0.00, top5:   1.56, throughput: 3890.99 samples/s
round 210(0), batch_time:  0.101, loss: 6.9383e+00, top1:   0.00, top5:   0.00, throughput: 851.34 samples/s
round 220(0), batch_time:  0.043, loss: 6.8987e+00, top1:   0.00, top5:   0.00, throughput: 3847.88 samples/s
round 230(0), batch_time:  0.044, loss: 6.8743e+00, top1:   0.00, top5:   0.00, throughput: 3800.16 samples/s
round 240(0), batch_time:  0.064, loss: 6.8967e+00, top1:   0.00, top5:   3.12, throughput: 1670.55 samples/s
round 250(0), batch_time:  0.043, loss: 6.9040e+00, top1:   0.00, top5:   1.56, throughput: 3721.19 samples/s
round 260(0), batch_time:  0.042, loss: 6.8896e+00, top1:   0.00, top5:   1.56, throughput: 3968.06 samples/s
round 270(0), batch_time:  0.043, loss: 6.9193e+00, top1:   0.00, top5:   0.00, throughput: 3712.49 samples/s
round 280(0), batch_time:  0.042, loss: 6.9077e+00, top1:   0.00, top5:   0.00, throughput: 3820.33 samples/s
round 290(0), batch_time:  0.043, loss: 6.8897e+00, top1:   1.56, top5:   1.56, throughput: 3793.01 samples/s
round 300(0), batch_time:  0.074, loss: 6.8729e+00, top1:   0.00, top5:   1.56, throughput: 1322.14 samples/s
round 310(0), batch_time:  0.043, loss: 6.9046e+00, top1:   0.00, top5:   0.00, throughput: 3700.31 samples/s
round 320(0), batch_time:  0.290, loss: 6.8968e+00, top1:   0.00, top5:   0.00, throughput: 242.45 samples/s
round 330(0), batch_time:  0.043, loss: 6.8910e+00, top1:   1.56, top5:   1.56, throughput: 3770.43 samples/s
round 340(0), batch_time:  0.450, loss: 6.9036e+00, top1:   0.00, top5:   1.56, throughput: 150.87 samples/s
round 350(0), batch_time:  0.043, loss: 6.9041e+00, top1:   0.00, top5:   0.00, throughput: 3766.25 samples/s
round 360(0), batch_time:  0.375, loss: 6.8888e+00, top1:   0.00, top5:   0.00, throughput: 183.35 samples/s
round 370(0), batch_time:  0.043, loss: 6.8912e+00, top1:   0.00, top5:   0.00, throughput: 3781.58 samples/s
round 380(0), batch_time:  0.199, loss: 6.8244e+00, top1:   0.00, top5:   1.56, throughput: 370.24 samples/s
round 390(0), batch_time:  0.043, loss: 6.8446e+00, top1:   1.56, top5:   1.56, throughput: 3685.88 samples/s
round 400(0), batch_time:  0.302, loss: 6.9063e+00, top1:   1.56, top5:   3.12, throughput: 232.31 samples/s
round 410(0), batch_time:  0.090, loss: 6.8496e+00, top1:   0.00, top5:   0.00, throughput: 997.25 samples/s
round 420(0), batch_time:  0.294, loss: 6.8455e+00, top1:   1.56, top5:   4.69, throughput: 239.41 samples/s
round 430(0), batch_time:  0.139, loss: 6.9041e+00, top1:   0.00, top5:   0.00, throughput: 565.41 samples/s
round 440(0), batch_time:  0.283, loss: 6.8744e+00, top1:   0.00, top5:   0.00, throughput: 249.60 samples/s
round 450(0), batch_time:  0.043, loss: 6.8442e+00, top1:   0.00, top5:   3.12, throughput: 3800.00 samples/s
round 460(0), batch_time:  0.440, loss: 6.9132e+00, top1:   0.00, top5:   0.00, throughput: 154.86 samples/s
round 470(0), batch_time:  0.043, loss: 6.8174e+00, top1:   0.00, top5:   0.00, throughput: 3767.04 samples/s
round 480(0), batch_time:  0.470, loss: 6.8642e+00, top1:   0.00, top5:   0.00, throughput: 144.39 samples/s
round 490(0), batch_time:  0.043, loss: 6.7258e+00, top1:   0.00, top5:   1.56, throughput: 3816.04 samples/s
round 500(0), batch_time:  0.415, loss: 6.8687e+00, top1:   0.00, top5:   0.00, throughput: 164.84 samples/s
round 510(0), batch_time:  0.043, loss: 6.8006e+00, top1:   0.00, top5:   1.56, throughput: 3837.75 samples/s
round 520(0), batch_time:  0.297, loss: 6.7832e+00, top1:   1.56, top5:   1.56, throughput: 236.51 samples/s
round 530(0), batch_time:  0.043, loss: 6.7236e+00, top1:   0.00, top5:   4.69, throughput: 3800.37 samples/s
round 540(0), batch_time:  0.228, loss: 6.7854e+00, top1:   0.00, top5:   0.00, throughput: 317.02 samples/s
round 550(0), batch_time:  0.227, loss: 6.6904e+00, top1:   0.00, top5:   3.12, throughput: 319.67 samples/s
round 560(0), batch_time:  0.076, loss: 6.7047e+00, top1:   0.00, top5:   1.56, throughput: 1284.63 samples/s
round 570(0), batch_time:  0.210, loss: 6.7405e+00, top1:   0.00, top5:   1.56, throughput: 348.60 samples/s
round 580(0), batch_time:  0.044, loss: 6.6490e+00, top1:   0.00, top5:   0.00, throughput: 3647.72 samples/s
round 590(0), batch_time:  0.042, loss: 6.7966e+00, top1:   0.00, top5:   0.00, throughput: 3862.94 samples/s
round 600(0), batch_time:  0.046, loss: 6.7273e+00, top1:   0.00, top5:   0.00, throughput: 3882.55 samples/s
round 610(0), batch_time:  0.042, loss: 6.7174e+00, top1:   0.00, top5:   1.56, throughput: 4235.53 samples/s
round 620(0), batch_time:  0.042, loss: 6.8078e+00, top1:   0.00, top5:   0.00, throughput: 4466.03 samples/s
