Experiment: official_paramserver
round 0(0), batch_time: 22.179, loss: 7.0260e+00, top1:   0.00, top5:   1.56, throughput:   4.16 samples/s
round 10(0), batch_time:  0.095, loss: 9.0820e+00, top1:   0.00, top5:   0.00, throughput: 3707.16 samples/s
round 20(0), batch_time:  0.040, loss: 7.8095e+00, top1:   0.00, top5:   0.00, throughput: 3490.71 samples/s
round 30(0), batch_time:  0.105, loss: 7.2474e+00, top1:   0.00, top5:   0.00, throughput: 3588.04 samples/s
round 40(0), batch_time:  0.153, loss: 7.0937e+00, top1:   0.00, top5:   0.00, throughput: 3062.69 samples/s
round 50(0), batch_time:  0.041, loss: 7.0616e+00, top1:   0.00, top5:   0.00, throughput: 3562.56 samples/s
round 60(0), batch_time:  0.172, loss: 7.0161e+00, top1:   0.00, top5:   0.00, throughput: 3502.41 samples/s
round 70(0), batch_time:  0.040, loss: 6.9660e+00, top1:   0.00, top5:   0.00, throughput: 3592.70 samples/s
round 80(0), batch_time:  0.040, loss: 6.9364e+00, top1:   0.00, top5:   0.00, throughput: 3494.21 samples/s
round 90(0), batch_time:  0.041, loss: 7.0313e+00, top1:   1.56, top5:   1.56, throughput: 3598.28 samples/s
round 100(0), batch_time:  0.040, loss: 6.9433e+00, top1:   0.00, top5:   0.00, throughput: 3483.28 samples/s
round 110(0), batch_time:  0.041, loss: 7.0452e+00, top1:   0.00, top5:   0.00, throughput: 3683.56 samples/s
round 120(0), batch_time:  0.040, loss: 6.9148e+00, top1:   0.00, top5:   1.56, throughput: 3478.45 samples/s
round 130(0), batch_time:  0.040, loss: 6.9198e+00, top1:   0.00, top5:   1.56, throughput: 3745.96 samples/s
round 140(0), batch_time:  0.081, loss: 6.9024e+00, top1:   0.00, top5:   1.56, throughput: 3579.00 samples/s
round 150(0), batch_time:  0.040, loss: 6.9177e+00, top1:   0.00, top5:   0.00, throughput: 3598.91 samples/s
round 160(0), batch_time:  0.040, loss: 6.9201e+00, top1:   0.00, top5:   0.00, throughput: 3499.45 samples/s
round 170(0), batch_time:  0.041, loss: 6.9172e+00, top1:   0.00, top5:   0.00, throughput: 3617.63 samples/s
round 180(0), batch_time:  0.040, loss: 6.9090e+00, top1:   0.00, top5:   1.56, throughput: 3496.89 samples/s
round 190(0), batch_time:  0.040, loss: 6.9177e+00, top1:   0.00, top5:   0.00, throughput: 3613.44 samples/s
round 200(0), batch_time:  0.302, loss: 6.8960e+00, top1:   0.00, top5:   1.56, throughput: 3502.18 samples/s
round 210(0), batch_time:  0.040, loss: 6.9067e+00, top1:   0.00, top5:   0.00, throughput: 3601.57 samples/s
round 220(0), batch_time:  0.282, loss: 6.9002e+00, top1:   0.00, top5:   0.00, throughput: 3498.53 samples/s
round 230(0), batch_time:  0.041, loss: 6.9076e+00, top1:   0.00, top5:   0.00, throughput: 3580.05 samples/s
round 240(0), batch_time:  0.523, loss: 6.9207e+00, top1:   0.00, top5:   0.00, throughput: 3490.89 samples/s
round 250(0), batch_time:  0.064, loss: 6.9054e+00, top1:   0.00, top5:   0.00, throughput: 3632.32 samples/s
round 260(0), batch_time:  0.164, loss: 6.9058e+00, top1:   0.00, top5:   0.00, throughput: 3484.32 samples/s
round 270(0), batch_time:  0.039, loss: 6.9109e+00, top1:   0.00, top5:   1.56, throughput: 3763.50 samples/s
round 280(0), batch_time:  0.040, loss: 6.9083e+00, top1:   0.00, top5:   0.00, throughput: 3482.42 samples/s
round 290(0), batch_time:  0.040, loss: 6.9172e+00, top1:   0.00, top5:   0.00, throughput: 3609.75 samples/s
round 300(0), batch_time:  0.040, loss: 6.9131e+00, top1:   0.00, top5:   0.00, throughput: 3490.35 samples/s
round 310(0), batch_time:  0.040, loss: 6.9271e+00, top1:   0.00, top5:   0.00, throughput: 3627.85 samples/s
round 320(0), batch_time:  0.114, loss: 6.8983e+00, top1:   0.00, top5:   0.00, throughput: 3487.67 samples/s
round 330(0), batch_time:  0.040, loss: 6.8951e+00, top1:   0.00, top5:   1.56, throughput: 3684.72 samples/s
round 340(0), batch_time:  0.040, loss: 6.9048e+00, top1:   0.00, top5:   0.00, throughput: 3562.56 samples/s
round 350(0), batch_time:  0.042, loss: 6.9156e+00, top1:   0.00, top5:   0.00, throughput: 3614.37 samples/s
round 360(0), batch_time:  0.040, loss: 6.9097e+00, top1:   0.00, top5:   0.00, throughput: 3546.51 samples/s
round 370(0), batch_time:  0.078, loss: 6.9022e+00, top1:   0.00, top5:   0.00, throughput: 3578.81 samples/s
round 380(0), batch_time:  0.040, loss: 6.8951e+00, top1:   0.00, top5:   3.12, throughput: 3526.15 samples/s
round 390(0), batch_time:  0.217, loss: 6.8972e+00, top1:   0.00, top5:   1.56, throughput: 3598.72 samples/s
round 400(0), batch_time:  0.041, loss: 6.9124e+00, top1:   0.00, top5:   0.00, throughput: 3521.99 samples/s
round 410(0), batch_time:  0.610, loss: 6.9036e+00, top1:   0.00, top5:   0.00, throughput: 3593.80 samples/s
round 420(0), batch_time:  0.040, loss: 6.8856e+00, top1:   0.00, top5:   0.00, throughput: 3503.37 samples/s
round 430(0), batch_time:  0.769, loss: 6.8947e+00, top1:   0.00, top5:   0.00, throughput: 3898.28 samples/s
round 440(0), batch_time:  0.039, loss: 6.8999e+00, top1:   1.56, top5:   4.69, throughput: 3588.13 samples/s
round 450(0), batch_time:  0.798, loss: 6.9073e+00, top1:   0.00, top5:   1.56, throughput: 3582.15 samples/s
round 460(0), batch_time:  0.040, loss: 6.9098e+00, top1:   0.00, top5:   0.00, throughput: 3507.49 samples/s
round 470(0), batch_time:  0.976, loss: 6.9063e+00, top1:   0.00, top5:   0.00, throughput: 3576.33 samples/s
round 480(0), batch_time:  0.040, loss: 6.9055e+00, top1:   0.00, top5:   0.00, throughput: 3528.84 samples/s
round 490(0), batch_time:  0.926, loss: 6.8933e+00, top1:   0.00, top5:   0.00, throughput: 3557.13 samples/s
round 500(0), batch_time:  0.040, loss: 6.9101e+00, top1:   1.56, top5:   1.56, throughput: 3556.05 samples/s
round 510(0), batch_time:  0.850, loss: 6.9040e+00, top1:   0.00, top5:   0.00, throughput: 3765.56 samples/s
round 520(0), batch_time:  0.040, loss: 6.8972e+00, top1:   1.56, top5:   3.12, throughput: 3499.63 samples/s
round 530(0), batch_time:  1.016, loss: 6.9021e+00, top1:   0.00, top5:   0.00, throughput: 3563.27 samples/s
round 540(0), batch_time:  0.040, loss: 6.8819e+00, top1:   0.00, top5:   0.00, throughput: 3597.13 samples/s
round 550(0), batch_time:  0.786, loss: 6.8975e+00, top1:   0.00, top5:   0.00, throughput: 3594.33 samples/s
round 560(0), batch_time:  0.040, loss: 6.8865e+00, top1:   0.00, top5:   0.00, throughput: 3516.87 samples/s
round 570(0), batch_time:  0.935, loss: 6.8648e+00, top1:   1.56, top5:   3.12, throughput: 3484.50 samples/s
