Experiment: official_selfddp
round 0(0), batch_time:  2.663, loss: 7.0318e+00, top1:   0.00, top5:   1.56, throughput:  43.65 samples/s
round 10(0), batch_time:  0.042, loss: 8.7911e+00, top1:   0.00, top5:   0.00, throughput: 3953.92 samples/s
round 20(0), batch_time:  0.042, loss: 8.0184e+00, top1:   0.00, top5:   0.00, throughput: 3858.49 samples/s
round 30(0), batch_time:  0.173, loss: 7.5159e+00, top1:   0.00, top5:   3.12, throughput: 439.12 samples/s
round 40(0), batch_time:  0.043, loss: 6.9457e+00, top1:   0.00, top5:   0.00, throughput: 3780.67 samples/s
round 50(0), batch_time:  0.067, loss: 6.9439e+00, top1:   0.00, top5:   1.56, throughput: 1540.89 samples/s
round 60(0), batch_time:  0.046, loss: 6.9506e+00, top1:   0.00, top5:   0.00, throughput: 3839.62 samples/s
round 70(0), batch_time:  0.178, loss: 6.9102e+00, top1:   0.00, top5:   0.00, throughput: 419.45 samples/s
round 80(0), batch_time:  0.042, loss: 6.8948e+00, top1:   0.00, top5:   0.00, throughput: 3754.71 samples/s
round 90(0), batch_time:  0.272, loss: 6.8916e+00, top1:   0.00, top5:   1.56, throughput: 259.76 samples/s
round 100(0), batch_time:  0.042, loss: 6.9035e+00, top1:   0.00, top5:   0.00, throughput: 3701.84 samples/s
round 110(0), batch_time:  0.041, loss: 6.9128e+00, top1:   0.00, top5:   0.00, throughput: 3927.31 samples/s
round 120(0), batch_time:  0.038, loss: 6.8907e+00, top1:   0.00, top5:   0.00, throughput: 4844.18 samples/s
round 130(0), batch_time:  0.042, loss: 6.9113e+00, top1:   3.12, top5:   4.69, throughput: 4925.60 samples/s
round 140(0), batch_time:  0.038, loss: 6.9129e+00, top1:   0.00, top5:   0.00, throughput: 4863.58 samples/s
round 150(0), batch_time:  0.042, loss: 6.8460e+00, top1:   1.56, top5:   1.56, throughput: 5031.31 samples/s
round 160(0), batch_time:  0.038, loss: 6.8572e+00, top1:   0.00, top5:   1.56, throughput: 4884.20 samples/s
round 170(0), batch_time:  0.042, loss: 6.8905e+00, top1:   0.00, top5:   0.00, throughput: 4991.83 samples/s
round 180(0), batch_time:  0.040, loss: 6.9328e+00, top1:   0.00, top5:   1.56, throughput: 4170.32 samples/s
round 190(0), batch_time:  0.042, loss: 6.9146e+00, top1:   0.00, top5:   1.56, throughput: 5134.47 samples/s
round 200(0), batch_time:  0.042, loss: 6.9096e+00, top1:   1.56, top5:   1.56, throughput: 3818.05 samples/s
round 210(0), batch_time:  0.045, loss: 6.9160e+00, top1:   0.00, top5:   0.00, throughput: 4577.14 samples/s
