Experiment: official_selfddp_syncbn
round 0(0), batch_time:  2.102, loss: 6.9993e+00, top1:   0.00, top5:   0.00, throughput:  81.60 samples/s
round 10(0), batch_time:  0.066, loss: 9.0867e+00, top1:   0.00, top5:   1.56, throughput: 5096.17 samples/s
round 20(0), batch_time:  0.067, loss: 8.3664e+00, top1:   0.00, top5:   0.00, throughput: 4429.70 samples/s
round 30(0), batch_time:  0.068, loss: 6.8745e+00, top1:   0.00, top5:   0.00, throughput: 5064.63 samples/s
round 40(0), batch_time:  0.073, loss: 6.8692e+00, top1:   1.56, top5:   1.56, throughput: 4596.10 samples/s
round 50(0), batch_time:  0.066, loss: 6.9208e+00, top1:   0.00, top5:   1.56, throughput: 5701.69 samples/s
round 60(0), batch_time:  0.066, loss: 6.9099e+00, top1:   0.00, top5:   0.00, throughput: 5560.89 samples/s
round 70(0), batch_time:  0.067, loss: 6.9042e+00, top1:   0.00, top5:   0.00, throughput: 5769.95 samples/s
round 80(0), batch_time:  0.062, loss: 6.9057e+00, top1:   0.00, top5:   1.56, throughput: 7428.27 samples/s
round 90(0), batch_time:  0.065, loss: 6.9056e+00, top1:   0.00, top5:   1.56, throughput: 5702.66 samples/s
round 100(0), batch_time:  0.063, loss: 6.9093e+00, top1:   0.00, top5:   0.00, throughput: 6605.04 samples/s
round 110(0), batch_time:  0.064, loss: 6.9205e+00, top1:   0.00, top5:   0.00, throughput: 5870.39 samples/s
round 120(0), batch_time:  0.065, loss: 6.9029e+00, top1:   0.00, top5:   0.00, throughput: 6144.80 samples/s
round 130(0), batch_time:  0.178, loss: 6.9268e+00, top1:   0.00, top5:   1.56, throughput: 534.33 samples/s
round 140(0), batch_time:  0.145, loss: 6.9095e+00, top1:   0.00, top5:   0.00, throughput: 703.33 samples/s
round 150(0), batch_time:  0.175, loss: 6.9144e+00, top1:   0.00, top5:   0.00, throughput: 5151.42 samples/s
round 160(0), batch_time:  0.224, loss: 6.9254e+00, top1:   1.56, top5:   3.12, throughput: 1391.64 samples/s
round 170(0), batch_time:  0.064, loss: 6.9096e+00, top1:   0.00, top5:   0.00, throughput: 5736.54 samples/s
round 180(0), batch_time:  0.174, loss: 6.9059e+00, top1:   0.00, top5:   1.56, throughput: 5534.87 samples/s
round 190(0), batch_time:  0.063, loss: 6.9032e+00, top1:   0.00, top5:   0.00, throughput: 6015.36 samples/s
round 200(0), batch_time:  0.223, loss: 6.9073e+00, top1:   1.56, top5:   1.56, throughput: 851.12 samples/s
round 210(0), batch_time:  0.065, loss: 6.9078e+00, top1:   0.00, top5:   0.00, throughput: 5695.64 samples/s
round 220(0), batch_time:  0.133, loss: 6.9145e+00, top1:   0.00, top5:   0.00, throughput: 807.33 samples/s
round 230(0), batch_time:  0.067, loss: 6.9043e+00, top1:   0.00, top5:   0.00, throughput: 6035.65 samples/s
round 240(0), batch_time:  0.238, loss: 6.9008e+00, top1:   0.00, top5:   3.12, throughput: 347.72 samples/s
round 250(0), batch_time:  0.065, loss: 6.8990e+00, top1:   0.00, top5:   0.00, throughput: 5721.50 samples/s
round 260(0), batch_time:  0.209, loss: 6.9066e+00, top1:   0.00, top5:   0.00, throughput: 440.77 samples/s
round 270(0), batch_time:  0.063, loss: 6.9397e+00, top1:   0.00, top5:   0.00, throughput: 6205.45 samples/s
round 280(0), batch_time:  0.216, loss: 6.8959e+00, top1:   1.56, top5:   3.12, throughput: 5672.77 samples/s
round 290(0), batch_time:  0.065, loss: 6.8943e+00, top1:   0.00, top5:   1.56, throughput: 5846.10 samples/s
round 300(0), batch_time:  0.254, loss: 6.8784e+00, top1:   0.00, top5:   0.00, throughput: 5730.78 samples/s
round 310(0), batch_time:  0.064, loss: 6.8257e+00, top1:   1.56, top5:   1.56, throughput: 5996.01 samples/s
round 320(0), batch_time:  0.155, loss: 6.9093e+00, top1:   0.00, top5:   3.12, throughput: 5498.02 samples/s
round 330(0), batch_time:  0.065, loss: 6.8965e+00, top1:   0.00, top5:   1.56, throughput: 5425.90 samples/s
round 340(0), batch_time:  0.223, loss: 6.9186e+00, top1:   0.00, top5:   0.00, throughput: 5922.85 samples/s
round 350(0), batch_time:  0.065, loss: 6.9094e+00, top1:   0.00, top5:   0.00, throughput: 5809.66 samples/s
round 360(0), batch_time:  0.298, loss: 6.8884e+00, top1:   0.00, top5:   0.00, throughput: 5939.76 samples/s
round 370(0), batch_time:  0.068, loss: 6.8836e+00, top1:   0.00, top5:   1.56, throughput: 8409.11 samples/s
round 380(0), batch_time:  0.239, loss: 6.8885e+00, top1:   0.00, top5:   0.00, throughput: 5805.52 samples/s
round 390(0), batch_time:  0.065, loss: 6.8325e+00, top1:   1.56, top5:   3.12, throughput: 5837.33 samples/s
round 400(0), batch_time:  0.247, loss: 6.8902e+00, top1:   0.00, top5:   3.12, throughput: 5378.07 samples/s
round 410(0), batch_time:  0.167, loss: 6.8942e+00, top1:   0.00, top5:   0.00, throughput: 6179.31 samples/s
round 420(0), batch_time:  0.067, loss: 6.9228e+00, top1:   0.00, top5:   1.56, throughput: 5682.02 samples/s
round 430(0), batch_time:  0.244, loss: 6.9273e+00, top1:   0.00, top5:   0.00, throughput: 5420.86 samples/s
round 440(0), batch_time:  0.065, loss: 6.8720e+00, top1:   0.00, top5:   0.00, throughput: 5728.82 samples/s
round 450(0), batch_time:  0.096, loss: 6.8461e+00, top1:   1.56, top5:   1.56, throughput: 5811.67 samples/s
round 460(0), batch_time:  0.066, loss: 6.8858e+00, top1:   0.00, top5:   0.00, throughput: 5809.16 samples/s
round 470(0), batch_time:  0.064, loss: 6.8616e+00, top1:   0.00, top5:   1.56, throughput: 5867.44 samples/s
round 480(0), batch_time:  0.064, loss: 6.8603e+00, top1:   0.00, top5:   3.12, throughput: 6254.76 samples/s
round 490(0), batch_time:  0.063, loss: 6.7833e+00, top1:   0.00, top5:   1.56, throughput: 5751.28 samples/s
round 500(0), batch_time:  0.211, loss: 6.8730e+00, top1:   0.00, top5:   0.00, throughput: 443.58 samples/s
round 510(0), batch_time:  0.151, loss: 6.8248e+00, top1:   0.00, top5:   1.56, throughput: 6851.16 samples/s
round 520(0), batch_time:  0.170, loss: 6.8333e+00, top1:   0.00, top5:   1.56, throughput: 545.53 samples/s
round 530(0), batch_time:  0.257, loss: 6.8669e+00, top1:   1.56, top5:   1.56, throughput: 5274.20 samples/s
round 540(0), batch_time:  0.167, loss: 6.8431e+00, top1:   1.56, top5:   1.56, throughput: 559.75 samples/s
round 550(0), batch_time:  0.234, loss: 6.7525e+00, top1:   0.00, top5:   1.56, throughput: 5856.43 samples/s
round 560(0), batch_time:  0.163, loss: 6.8723e+00, top1:   0.00, top5:   0.00, throughput: 592.72 samples/s
round 570(0), batch_time:  0.065, loss: 6.7556e+00, top1:   0.00, top5:   1.56, throughput: 5976.12 samples/s
round 580(0), batch_time:  0.200, loss: 6.8362e+00, top1:   0.00, top5:   3.12, throughput: 444.96 samples/s
round 590(0), batch_time:  0.069, loss: 6.8774e+00, top1:   0.00, top5:   0.00, throughput: 5842.54 samples/s
round 600(0), batch_time:  0.122, loss: 6.7599e+00, top1:   0.00, top5:   3.12, throughput: 945.00 samples/s
round 610(0), batch_time:  0.063, loss: 6.8591e+00, top1:   0.00, top5:   1.56, throughput: 5809.16 samples/s
round 620(0), batch_time:  0.063, loss: 6.8184e+00, top1:   0.00, top5:   1.56, throughput: 6232.54 samples/s
round 630(0), batch_time:  0.063, loss: 6.8136e+00, top1:   0.00, top5:   0.00, throughput: 5954.51 samples/s
round 640(0), batch_time:  0.072, loss: 6.8422e+00, top1:   0.00, top5:   0.00, throughput: 5592.52 samples/s
round 650(0), batch_time:  0.064, loss: 6.7265e+00, top1:   0.00, top5:   3.12, throughput: 5715.77 samples/s
round 660(0), batch_time:  0.073, loss: 6.7406e+00, top1:   0.00, top5:   0.00, throughput: 5652.11 samples/s
round 670(0), batch_time:  0.067, loss: 6.8067e+00, top1:   0.00, top5:   0.00, throughput: 5135.16 samples/s
round 680(0), batch_time:  0.065, loss: 6.7248e+00, top1:   0.00, top5:   0.00, throughput: 5781.88 samples/s
round 690(0), batch_time:  0.064, loss: 6.8082e+00, top1:   0.00, top5:   1.56, throughput: 5883.13 samples/s
round 700(0), batch_time:  0.062, loss: 6.6958e+00, top1:   0.00, top5:   1.56, throughput: 6310.04 samples/s
round 710(0), batch_time:  0.064, loss: 6.8371e+00, top1:   1.56, top5:   3.12, throughput: 5975.46 samples/s
round 720(0), batch_time:  0.145, loss: 6.8505e+00, top1:   0.00, top5:   1.56, throughput: 6037.28 samples/s
round 730(0), batch_time:  0.064, loss: 6.7365e+00, top1:   0.00, top5:   1.56, throughput: 6361.03 samples/s
round 740(0), batch_time:  0.310, loss: 6.7468e+00, top1:   0.00, top5:   0.00, throughput: 7061.30 samples/s
round 750(0), batch_time:  0.064, loss: 7.0341e+00, top1:   0.00, top5:   1.56, throughput: 6435.14 samples/s
round 760(0), batch_time:  0.187, loss: 6.7408e+00, top1:   0.00, top5:   0.00, throughput: 4599.33 samples/s
round 770(0), batch_time:  0.067, loss: 6.7048e+00, top1:   0.00, top5:   0.00, throughput: 5457.00 samples/s
round 780(0), batch_time:  0.283, loss: 6.8095e+00, top1:   1.56, top5:   1.56, throughput: 5899.42 samples/s
round 790(0), batch_time:  0.070, loss: 6.5372e+00, top1:   3.12, top5:   6.25, throughput: 5121.15 samples/s
round 800(0), batch_time:  0.184, loss: 6.7735e+00, top1:   0.00, top5:   0.00, throughput: 5978.25 samples/s
round 810(0), batch_time:  0.064, loss: 6.6123e+00, top1:   1.56, top5:   1.56, throughput: 5929.26 samples/s
round 820(0), batch_time:  0.286, loss: 6.6031e+00, top1:   0.00, top5:   3.12, throughput: 5929.92 samples/s
round 830(0), batch_time:  0.064, loss: 6.5823e+00, top1:   1.56, top5:   3.12, throughput: 5903.70 samples/s
round 840(0), batch_time:  0.358, loss: 6.5158e+00, top1:   1.56, top5:   1.56, throughput: 5960.73 samples/s
round 850(0), batch_time:  0.065, loss: 6.5559e+00, top1:   1.56, top5:   7.81, throughput: 5628.88 samples/s
round 860(0), batch_time:  0.210, loss: 6.4274e+00, top1:   1.56, top5:   6.25, throughput: 5741.20 samples/s
round 870(0), batch_time:  0.063, loss: 6.6098e+00, top1:   0.00, top5:   0.00, throughput: 6391.32 samples/s
round 880(0), batch_time:  0.241, loss: 6.6550e+00, top1:   0.00, top5:   1.56, throughput: 6466.14 samples/s
round 890(0), batch_time:  0.063, loss: 6.6159e+00, top1:   0.00, top5:   1.56, throughput: 5898.25 samples/s
round 900(0), batch_time:  0.158, loss: 6.4588e+00, top1:   1.56, top5:   6.25, throughput: 5626.28 samples/s
round 910(0), batch_time:  0.065, loss: 6.4767e+00, top1:   0.00, top5:   6.25, throughput: 6164.13 samples/s
round 920(0), batch_time:  0.063, loss: 6.5030e+00, top1:   1.56, top5:   4.69, throughput: 5994.94 samples/s
round 930(0), batch_time:  0.064, loss: 6.6239e+00, top1:   0.00, top5:   1.56, throughput: 6049.39 samples/s
round 940(0), batch_time:  0.092, loss: 6.5398e+00, top1:   1.56, top5:   4.69, throughput: 1662.58 samples/s
round 950(0), batch_time:  0.290, loss: 6.6803e+00, top1:   0.00, top5:   3.12, throughput: 5782.38 samples/s
round 960(0), batch_time:  0.135, loss: 6.5428e+00, top1:   0.00, top5:   1.56, throughput: 5726.26 samples/s
round 970(0), batch_time:  0.066, loss: 6.3756e+00, top1:   1.56, top5:   7.81, throughput: 5887.90 samples/s
round 980(0), batch_time:  0.226, loss: 6.5401e+00, top1:   0.00, top5:   0.00, throughput: 5987.05 samples/s
round 990(0), batch_time:  0.064, loss: 6.5157e+00, top1:   1.56, top5:   1.56, throughput: 5956.10 samples/s
round 1000(0), batch_time:  0.238, loss: 6.6026e+00, top1:   0.00, top5:   1.56, throughput: 5572.55 samples/s
round 1010(0), batch_time:  0.073, loss: 6.6031e+00, top1:   0.00, top5:   1.56, throughput: 5918.02 samples/s
round 1020(0), batch_time:  0.177, loss: 6.6787e+00, top1:   0.00, top5:   1.56, throughput: 5716.14 samples/s
round 1030(0), batch_time:  0.067, loss: 6.3434e+00, top1:   1.56, top5:   6.25, throughput: 5658.18 samples/s
round 1040(0), batch_time:  0.070, loss: 6.4012e+00, top1:   0.00, top5:   1.56, throughput: 5447.48 samples/s
round 1050(0), batch_time:  0.063, loss: 6.3865e+00, top1:   1.56, top5:   7.81, throughput: 6235.00 samples/s
round 1060(0), batch_time:  0.063, loss: 6.4541e+00, top1:   3.12, top5:   3.12, throughput: 6404.43 samples/s
round 1070(0), batch_time:  0.066, loss: 6.4922e+00, top1:   0.00, top5:   4.69, throughput: 5940.41 samples/s
round 1080(0), batch_time:  0.065, loss: 6.3864e+00, top1:   0.00, top5:   4.69, throughput: 5780.76 samples/s
round 1090(0), batch_time:  0.066, loss: 6.3971e+00, top1:   1.56, top5:   4.69, throughput: 5676.49 samples/s
round 1100(0), batch_time:  0.125, loss: 6.4661e+00, top1:   0.00, top5:   3.12, throughput: 891.09 samples/s
round 1110(0), batch_time:  0.213, loss: 6.2210e+00, top1:   3.12, top5:  14.06, throughput: 5855.28 samples/s
round 1120(0), batch_time:  0.084, loss: 6.4254e+00, top1:   0.00, top5:   3.12, throughput: 5822.64 samples/s
round 1130(0), batch_time:  0.099, loss: 6.6485e+00, top1:   0.00, top5:   4.69, throughput: 5846.87 samples/s
round 1140(0), batch_time:  0.065, loss: 6.3829e+00, top1:   0.00, top5:   4.69, throughput: 5592.64 samples/s
round 1150(0), batch_time:  0.081, loss: 6.4639e+00, top1:   0.00, top5:   1.56, throughput: 6027.92 samples/s
