Experiment: official_singlecard
Experiment: official_singlecard
round 0(0), batch_time:  3.221, loss: 7.0917e+00, top1:   0.00, top5:   0.00, throughput: 144.38 samples/s
round 10(0), batch_time:  0.142, loss: 8.1686e+00, top1:   0.00, top5:   0.78, throughput: 3068.25 samples/s
round 20(0), batch_time:  0.790, loss: 7.2724e+00, top1:   0.39, top5:   0.78, throughput: 350.05 samples/s
round 30(0), batch_time:  0.142, loss: 6.9748e+00, top1:   0.00, top5:   0.78, throughput: 3095.89 samples/s
round 40(0), batch_time:  0.188, loss: 6.9098e+00, top1:   0.39, top5:   1.17, throughput: 1969.71 samples/s
round 50(0), batch_time:  0.141, loss: 6.9271e+00, top1:   0.00, top5:   0.39, throughput: 3092.85 samples/s
round 60(0), batch_time:  0.556, loss: 6.9244e+00, top1:   0.00, top5:   0.39, throughput: 515.87 samples/s
round 70(0), batch_time:  0.140, loss: 6.9162e+00, top1:   0.00, top5:   0.39, throughput: 3160.27 samples/s
round 80(0), batch_time:  0.677, loss: 6.9254e+00, top1:   0.00, top5:   0.00, throughput: 414.25 samples/s
round 90(0), batch_time:  0.141, loss: 6.9188e+00, top1:   0.39, top5:   0.78, throughput: 3167.65 samples/s
round 100(0), batch_time:  0.142, loss: 6.9038e+00, top1:   0.00, top5:   1.17, throughput: 3113.25 samples/s
round 110(0), batch_time:  0.141, loss: 6.9049e+00, top1:   0.00, top5:   0.78, throughput: 3105.56 samples/s
round 120(0), batch_time:  0.142, loss: 6.9165e+00, top1:   0.00, top5:   0.39, throughput: 3134.90 samples/s
round 130(0), batch_time:  0.142, loss: 6.9258e+00, top1:   0.00, top5:   0.39, throughput: 3135.21 samples/s
round 140(0), batch_time:  0.141, loss: 6.9243e+00, top1:   0.00, top5:   0.39, throughput: 3087.91 samples/s
round 150(0), batch_time:  0.142, loss: 6.9080e+00, top1:   0.00, top5:   0.39, throughput: 3114.15 samples/s
round 160(0), batch_time:  0.142, loss: 6.9316e+00, top1:   0.39, top5:   1.17, throughput: 3072.56 samples/s
round 170(0), batch_time:  0.141, loss: 6.9112e+00, top1:   0.00, top5:   0.00, throughput: 3161.85 samples/s
round 180(0), batch_time:  0.141, loss: 6.8888e+00, top1:   0.39, top5:   0.78, throughput: 3084.66 samples/s
round 190(0), batch_time:  0.141, loss: 6.9332e+00, top1:   0.39, top5:   0.78, throughput: 3154.46 samples/s
round 200(0), batch_time:  2.086, loss: 6.9022e+00, top1:   0.39, top5:   0.78, throughput: 126.30 samples/s
round 210(0), batch_time:  0.396, loss: 6.8992e+00, top1:   0.39, top5:   0.39, throughput: 759.19 samples/s
round 220(0), batch_time:  1.259, loss: 6.8894e+00, top1:   0.39, top5:   2.34, throughput: 213.25 samples/s
round 230(0), batch_time:  0.142, loss: 7.0405e+00, top1:   0.39, top5:   0.78, throughput: 3147.76 samples/s
round 240(0), batch_time:  1.245, loss: 6.9025e+00, top1:   0.00, top5:   1.17, throughput: 216.07 samples/s
round 250(0), batch_time:  0.141, loss: 6.9046e+00, top1:   0.39, top5:   0.78, throughput: 3096.63 samples/s
round 260(0), batch_time:  0.514, loss: 6.9161e+00, top1:   0.00, top5:   0.39, throughput: 561.73 samples/s
round 270(0), batch_time:  0.141, loss: 6.9054e+00, top1:   0.00, top5:   0.78, throughput: 3090.76 samples/s
round 280(0), batch_time:  0.141, loss: 6.8922e+00, top1:   0.39, top5:   2.73, throughput: 3087.05 samples/s
round 290(0), batch_time:  0.141, loss: 6.8851e+00, top1:   0.00, top5:   0.78, throughput: 3093.96 samples/s
round 300(0), batch_time:  0.141, loss: 6.8774e+00, top1:   0.00, top5:   1.17, throughput: 3091.63 samples/s
round 310(0), batch_time:  0.142, loss: 6.8540e+00, top1:   0.00, top5:   1.17, throughput: 3092.44 samples/s
round 320(0), batch_time:  0.142, loss: 6.8328e+00, top1:   0.00, top5:   1.56, throughput: 3135.31 samples/s
round 330(0), batch_time:  0.141, loss: 6.8404e+00, top1:   0.00, top5:   2.34, throughput: 3091.87 samples/s
round 340(0), batch_time:  0.142, loss: 6.7940e+00, top1:   0.39, top5:   2.34, throughput: 3082.75 samples/s
round 350(0), batch_time:  0.140, loss: 6.8586e+00, top1:   0.00, top5:   1.56, throughput: 3087.83 samples/s
round 360(0), batch_time:  0.141, loss: 6.8246e+00, top1:   0.00, top5:   0.00, throughput: 3064.30 samples/s
round 370(0), batch_time:  0.141, loss: 6.8564e+00, top1:   0.00, top5:   0.39, throughput: 3093.71 samples/s
round 380(0), batch_time:  0.141, loss: 6.8248e+00, top1:   0.39, top5:   0.39, throughput: 3074.58 samples/s
round 390(0), batch_time:  0.141, loss: 6.8424e+00, top1:   0.39, top5:   0.39, throughput: 3093.15 samples/s
round 400(0), batch_time:  0.141, loss: 6.8071e+00, top1:   0.39, top5:   1.17, throughput: 3081.67 samples/s
round 410(0), batch_time:  0.316, loss: 6.8670e+00, top1:   0.39, top5:   1.56, throughput: 996.53 samples/s
round 420(0), batch_time:  0.141, loss: 6.8835e+00, top1:   0.78, top5:   1.17, throughput: 3083.60 samples/s
round 430(0), batch_time:  0.141, loss: 6.8030e+00, top1:   0.00, top5:   0.00, throughput: 3095.10 samples/s
round 440(0), batch_time:  0.141, loss: 6.8141e+00, top1:   0.39, top5:   1.17, throughput: 3100.69 samples/s
round 450(0), batch_time:  0.141, loss: 6.8061e+00, top1:   0.39, top5:   0.78, throughput: 3097.35 samples/s
round 460(0), batch_time:  0.141, loss: 6.8184e+00, top1:   0.00, top5:   1.17, throughput: 3086.10 samples/s
round 470(0), batch_time:  0.142, loss: 6.7456e+00, top1:   0.00, top5:   1.95, throughput: 3198.96 samples/s
round 480(0), batch_time:  0.142, loss: 6.8170e+00, top1:   0.00, top5:   1.56, throughput: 3093.21 samples/s
round 490(0), batch_time:  0.141, loss: 6.8202e+00, top1:   0.00, top5:   0.78, throughput: 3115.78 samples/s
round 500(0), batch_time:  0.140, loss: 6.7983e+00, top1:   0.00, top5:   0.39, throughput: 3133.04 samples/s
round 510(0), batch_time:  0.141, loss: 6.7533e+00, top1:   0.00, top5:   1.56, throughput: 3105.36 samples/s
round 520(0), batch_time:  0.142, loss: 6.7386e+00, top1:   0.00, top5:   1.95, throughput: 3085.62 samples/s
round 530(0), batch_time:  0.141, loss: 6.8065e+00, top1:   0.78, top5:   0.78, throughput: 3092.44 samples/s
round 540(0), batch_time:  0.141, loss: 6.8025e+00, top1:   0.39, top5:   1.17, throughput: 3093.50 samples/s
